Tipo,CDA,Product SKU SAP,SKU,Tipo Documento Factu,Numero de Serie,Correl. Serie,Marca,Cantidad C.U,Cantidad C.F,Ingresos en Soles,Fee 1,Importe Total Factura,Ventas Brutas
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162884,INCA KOLA,492.152,393.375,5495.45,680.15,6955.19,5894.228814
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162885,INCA KOLA,32.529,26,363.22,44.95,459.72,389.5932203
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162886,INCA KOLA,15.013,12,161.04,20.75,202.43,171.5508475
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162887,INCA KOLA,232.705,186,2546.34,321.59,3211.83,2721.889831
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162888,INCA KOLA,25.022,20,273.77,34.58,345.32,292.6440678
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162889,INCA KOLA,65.683,52.5,773.33,90.77,987.11,836.5338983
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162912,INCA KOLA,0.626,0.5,7.36,0.87,8.95,7.584745763
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,162913,INCA KOLA,1.877,1.5,22.09,2.59,26.23,22.22881356
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,163904,INCA KOLA,479.901,383.583,5358.66,663.22,6782.06,5747.508475
Ventas,INV MARTINEZ CHIHUANTITO SRL,250030,INCA KOLA VR 296MLX24,FACTURA,775,163905,INCA KOLA,29.401,23.5,328.3,40.63,415.51,352.1271186
